Symbol,Name,Sector,Category
DXC,DXC Technology,Information Technology,Stock
UAL,United Airlines Holdings,Industrials,Stock
LHX,L3Harris Technologies,Industrials,Stock
LNC,Lincoln National,Financials,Stock
MTB,M&T Bank Corp.,Financials,Stock
DLR,Digital Realty Trust Inc,Real Estate,Stock
KR,Kroger Co.,Consumer Staples,Stock
EBAY,eBay Inc.,Consumer Discretionary,Stock
PH,Parker-Hannifin,Industrials,Stock
WRK,WestRock,Materials,Stock
FE,FirstEnergy Corp,Utilities,Stock
AON,Aon plc,Financials,Stock
LRCX,Lam Research,Information Technology,Stock
CPRT,Copart Inc,Industrials,Stock
NKE,Nike Inc.,Consumer Discretionary,Stock
ROL,Rollins Inc.,Industrials,Stock
ABBV,AbbVie Inc.,Health Care,Stock
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Stock
JNPR,Juniper Networks,Information Technology,Stock
MMM,3M Company,Industrials,Stock
LVS,Las Vegas Sands,Consumer Discretionary,Stock
IBM,International Business Machines,Information Technology,Stock
GRMN,Garmin Ltd.,Consumer Discretionary,Stock
BRK.B,Berkshire Hathaway,Financials,Stock
BDX,Becton Dickinson,Health Care,Stock
TJX,TJX Companies Inc.,Consumer Discretionary,Stock
KMB,Kimberly-Clark,Consumer Staples,Stock
HPQ,HP Inc.,Information Technology,Stock
MPC,Marathon Petroleum,Energy,Stock
SLB,Schlumberger Ltd.,Energy,Stock
VTI,Vanguard Total Stock Market,Index,ETF
BND,Vanguard Total Bond Market,Bond,ETF
